velocity,torque
-1.622056770324707031e+01,-9.583333333333332593e-01
-1.613207435607910156e+01,-1.000000000000000000e+00
-1.611860275268554688e+01,-9.166666666666666297e-01
-1.565634250640869141e+01,-8.750000000000000000e-01
-1.547997760772705078e+01,-8.333333333333332593e-01
-1.530355548858642578e+01,-7.916666666666666297e-01
-1.486440849304199219e+01,-7.500000000000000000e-01
-1.365626621246337891e+01,-7.083333333333332593e-01
-1.243340587615966797e+01,-6.666666666666666297e-01
-1.103984546661376953e+01,-6.250000000000000000e-01
-9.916900634765625000e+00,-5.833333333333332593e-01
-8.462888717651367188e+00,-5.416666666666666297e-01
-6.777954101562500000e+00,-5.000000000000000000e-01
-5.641218662261962891e+00,-4.583333333333333148e-01
-4.255235195159912109e+00,-4.166666666666666297e-01
-1.196992024779319763e-02,0.000000000000000000e+00
-1.164081785827875137e-02,0.000000000000000000e+00
-1.080079749226570129e-02,3.333333333333333148e-01
-9.951305575668811798e-03,-3.333333333333333148e-01
-9.010105393826961517e-03,2.500000000000000000e-01
-5.161971785128116608e-03,-3.750000000000000000e-01
-2.872526645660400391e-03,1.666666666666666574e-01
-1.574559835717082024e-03,4.166666666666666435e-02
-1.191089395433664322e-04,-2.083333333333333148e-01
-8.295779116451740265e-05,-1.250000000000000000e-01
-7.127784192562103271e-05,-4.166666666666666435e-02
1.352716237306594849e-03,-2.916666666666666297e-01
2.156408270820975304e-03,2.916666666666666297e-01
2.174613066017627716e-03,8.333333333333332871e-02
2.278463216498494148e-03,1.250000000000000000e-01
3.825567662715911865e-03,-1.666666666666666574e-01
4.640161059796810150e-03,2.083333333333333148e-01
5.865428131073713303e-03,-8.333333333333332871e-02
7.362950593233108521e-03,-2.500000000000000000e-01
1.536323595792055130e-02,3.750000000000000000e-01
4.734368324279785156e+00,4.166666666666666297e-01
5.519498348236083984e+00,4.583333333333333148e-01
6.752732276916503906e+00,5.000000000000000000e-01
8.286536216735839844e+00,5.416666666666666297e-01
9.804420471191406250e+00,5.833333333333332593e-01
1.068464469909667969e+01,6.250000000000000000e-01
1.216239356994628906e+01,6.666666666666666297e-01
1.321034622192382812e+01,7.083333333333332593e-01
1.463135337829589844e+01,7.500000000000000000e-01
1.482340812683105469e+01,7.916666666666666297e-01
1.518860721588134766e+01,8.750000000000000000e-01
1.543103694915771484e+01,8.333333333333332593e-01
1.565577793121337891e+01,9.166666666666666297e-01
1.573517990112304688e+01,9.583333333333332593e-01
1.617718505859375000e+01,1.000000000000000000e+00
