velocity,torque
-1.682992362976074219e+01,-9.583333333333332593e-01
-1.666846084594726562e+01,-1.000000000000000000e+00
-1.662030601501464844e+01,-9.166666666666666297e-01
-1.656952667236328125e+01,-8.750000000000000000e-01
-1.649702072143554688e+01,-8.333333333333332593e-01
-1.641028785705566406e+01,-7.916666666666666297e-01
-1.637039756774902344e+01,-7.500000000000000000e-01
-1.611804199218750000e+01,-7.083333333333332593e-01
-1.584995746612548828e+01,-6.666666666666666297e-01
-1.401721763610839844e+01,-6.250000000000000000e-01
-1.255338573455810547e+01,-5.833333333333332593e-01
-1.090297031402587891e+01,-5.416666666666666297e-01
-8.950950622558593750e+00,-5.000000000000000000e-01
-7.434403896331787109e+00,-4.583333333333333148e-01
-5.646145343780517578e+00,-4.166666666666666297e-01
-4.352589607238769531e+00,-3.750000000000000000e-01
-3.074611663818359375e+00,-3.333333333333333148e-01
-2.040872097015380859e+00,-2.916666666666666297e-01
-1.125621557235717773e+00,-2.500000000000000000e-01
-8.587024211883544922e-01,-2.083333333333333148e-01
-1.812366023659706116e-02,-4.166666666666666435e-02
-9.213226847350597382e-03,4.166666666666666435e-02
-7.296669762581586838e-03,2.916666666666666297e-01
-6.386141292750835419e-03,-8.333333333333332871e-02
-5.285351537168025970e-03,1.666666666666666574e-01
-4.577565938234329224e-03,2.500000000000000000e-01
-2.860075328499078751e-03,3.333333333333333148e-01
-3.273584879934787750e-04,0.000000000000000000e+00
1.442355453036725521e-03,8.333333333333332871e-02
1.447741407901048660e-03,-1.666666666666666574e-01
2.753605600446462631e-03,0.000000000000000000e+00
6.219679489731788635e-03,-1.250000000000000000e-01
1.236890535801649094e-02,2.083333333333333148e-01
1.528183091431856155e-02,1.250000000000000000e-01
4.053796768188476562e+00,3.750000000000000000e-01
5.323313236236572266e+00,4.166666666666666297e-01
6.788644790649414062e+00,4.583333333333333148e-01
8.416608810424804688e+00,5.000000000000000000e-01
1.023373699188232422e+01,5.416666666666666297e-01
1.194784545898437500e+01,5.833333333333332593e-01
1.309483528137207031e+01,6.250000000000000000e-01
1.568515872955322266e+01,6.666666666666666297e-01
1.601637268066406250e+01,7.083333333333332593e-01
1.629175758361816406e+01,7.500000000000000000e-01
1.634953689575195312e+01,7.916666666666666297e-01
1.648880195617675781e+01,8.333333333333332593e-01
1.652353286743164062e+01,8.750000000000000000e-01
1.662852478027343750e+01,1.000000000000000000e+00
1.665933227539062500e+01,9.166666666666666297e-01
1.669323921203613281e+01,9.583333333333332593e-01
