velocity,torque
-1.692258453369140625e+01,-1.000000000000000000e+00
-1.683420372009277344e+01,-9.583333333333332593e-01
-1.669659042358398438e+01,-9.166666666666666297e-01
-1.664886665344238281e+01,-8.750000000000000000e-01
-1.656885910034179688e+01,-7.916666666666666297e-01
-1.655161666870117188e+01,-8.333333333333332593e-01
-1.648939704895019531e+01,-7.083333333333332593e-01
-1.647965812683105469e+01,-7.500000000000000000e-01
-1.605948257446289062e+01,-6.666666666666666297e-01
-1.588131141662597656e+01,-6.250000000000000000e-01
-1.311875724792480469e+01,-5.833333333333332593e-01
-1.206804180145263672e+01,-5.416666666666666297e-01
-9.540251731872558594e+00,-5.000000000000000000e-01
-1.911020837724208832e-02,-4.583333333333333148e-01
-1.898244768381118774e-02,1.250000000000000000e-01
-1.130206510424613953e-02,2.083333333333333148e-01
-7.653269916772842407e-03,1.666666666666666574e-01
-7.084289100021123886e-03,-2.916666666666666297e-01
-4.670448601245880127e-03,0.000000000000000000e+00
-3.795338794589042664e-03,4.166666666666666435e-02
-8.473624475300312042e-04,-4.166666666666666435e-02
3.937964793294668198e-04,-2.500000000000000000e-01
5.106440512463450432e-04,-3.750000000000000000e-01
1.511199399828910828e-03,8.333333333333332871e-02
1.783044077455997467e-03,0.000000000000000000e+00
2.205708529800176620e-03,-4.166666666666666297e-01
2.675130032002925873e-03,-8.333333333333332871e-02
3.411898855119943619e-03,-1.250000000000000000e-01
4.111389629542827606e-03,-2.083333333333333148e-01
1.184586621820926666e-02,-3.333333333333333148e-01
1.527916174381971359e-02,-1.666666666666666574e-01
1.151991367340087891e+00,2.500000000000000000e-01
2.226914405822753906e+00,2.916666666666666297e-01
3.356078863143920898e+00,3.333333333333333148e-01
4.480206966400146484e+00,3.750000000000000000e-01
6.283274650573730469e+00,4.166666666666666297e-01
7.831192970275878906e+00,4.583333333333333148e-01
9.622632980346679688e+00,5.000000000000000000e-01
1.159938526153564453e+01,5.416666666666666297e-01
1.310340499877929688e+01,5.833333333333332593e-01
1.550929069519042969e+01,6.250000000000000000e-01
1.598947334289550781e+01,6.666666666666666297e-01
1.629565811157226562e+01,7.083333333333332593e-01
1.637720489501953125e+01,7.500000000000000000e-01
1.647687721252441406e+01,7.916666666666666297e-01
1.658906936645507812e+01,9.166666666666666297e-01
1.659764862060546875e+01,8.333333333333332593e-01
1.665312194824218750e+01,8.750000000000000000e-01
1.673421478271484375e+01,1.000000000000000000e+00
1.676249313354492188e+01,9.583333333333332593e-01
